secret,file_path,rule_id,match_context,label
dolor ipsum sit amet,package-lock.json,generic-secret,"DUMMY_SECRET = ""dolor ipsum sit amet""",0
74KPONu3OujCeECOtYrLdwGetDCcdx1seP32fN,.github/workflows/deploy.yml,generic-api-key,"API_KEY = ""74KPONu3OujCeECOtYrLdwGetDCcdx1seP32fN""",1
sk_live_CvB003PMituM8SmEul9z9usV,.github/workflows/deploy.yml,stripe-live-key,"GITHUB_TOKEN = ""sk_live_CvB003PMituM8SmEul9z9usV""",1
6290bba5a9c4df1d88eb9a2cbfa74bf15cde6e13,src/test/java/AuthTest.java,generic-high-entropy-string,"request_id = ""6290bba5a9c4df1d88eb9a2cbfa74bf15cde6e13""",0
AKIAGAN4EIO72AAVH1I4,app/settings/prod.py,aws-access-token,"AWS_SECRET_ACCESS_KEY = ""AKIAGAN4EIO72AAVH1I4""",1
vkxtUuX8KMf4djkWNdRfrCQBFMCArnWGhwB,infra/terraform/secrets.tfvars,generic-api-key,"AWS_SECRET_ACCESS_KEY = ""vkxtUuX8KMf4djkWNdRfrCQBFMCArnWGhwB""",1
ff6776394bc728b3b0beea6c848539a1bbdf01d5,src/test/java/AuthTest.java,generic-high-entropy-string,"EXAMPLE_API_KEY = ""ff6776394bc728b3b0beea6c848539a1bbdf01d5""",0
sk_live_ziQPtDu7W7eaDNKgeInGqi7w,app/settings/prod.py,stripe-live-key,"AWS_SECRET_ACCESS_KEY = ""sk_live_ziQPtDu7W7eaDNKgeInGqi7w""",1
sha512-qFGRmJ4GfCIg7cEzFZl7K9B/KmlZfopGos1mCxdhzoWaiKbm9XBZXcenBsMKpxvU,src/test/java/AuthTest.java,hex-string,"request_id = ""sha512-qFGRmJ4GfCIg7cEzFZl7K9B/KmlZfopGos1mCxdhzoWaiKbm9XBZXcenBsMKpxvU""",0
lorem sit ipsum amet,spec/support/fixtures.rb,generic-secret,"integrity = ""lorem sit ipsum amet""",0
sit consectetur lorem dolor,__mocks__/apiClient.js,generic-secret,"DUMMY_SECRET = ""sit consectetur lorem dolor""",0
dolor ipsum consectetur amet,package-lock.json,generic-secret,"request_id = ""dolor ipsum consectetur amet""",0
changeme123,docs/examples/quickstart.md,generic-api-key,"integrity = ""changeme123""",0
kUYwkiUIFl64IP9dHc12e80QdWaAi1OoeTj,app/settings/prod.py,generic-api-key,"AWS_SECRET_ACCESS_KEY = ""kUYwkiUIFl64IP9dHc12e80QdWaAi1OoeTj""",1
AKIASTWG6NJ4OGW9XHRO,.github/workflows/deploy.yml,aws-access-token,"GITHUB_TOKEN = ""AKIASTWG6NJ4OGW9XHRO""",1
ghp_0zxRO8PfLLq60ebem5PCZif521Zvhc8Ddk7K,backend/config.json,github-pat,"GITHUB_TOKEN = ""ghp_0zxRO8PfLLq60ebem5PCZif521Zvhc8Ddk7K""",1
Jr0NRNhigzxYvJ8xWjmMGzGccciTvZEHDjM5Giu7,infra/terraform/secrets.tfvars,generic-api-key,"API_KEY = ""Jr0NRNhigzxYvJ8xWjmMGzGccciTvZEHDjM5Giu7""",1
AKIAFCQN0B58ST4PZT3E,app/settings/prod.py,aws-access-token,"AWS_SECRET_ACCESS_KEY = ""AKIAFCQN0B58ST4PZT3E""",1
ghp_9XIIaOenQOXn3RB1gnI1S4VXBP08eVRjbDTv,config/production.env,github-pat,"AWS_SECRET_ACCESS_KEY = ""ghp_9XIIaOenQOXn3RB1gnI1S4VXBP08eVRjbDTv""",1
a32926f3-041b-49bf-9469-99ba8a10adb5,docs/examples/quickstart.md,generic-high-entropy-string,"request_id = ""a32926f3-041b-49bf-9469-99ba8a10adb5""",0
ghp_pmNHq0wrYzfx9zDKpSotR02fP2PWcfzyyJEd,backend/config.json,github-pat,"AWS_SECRET_ACCESS_KEY = ""ghp_pmNHq0wrYzfx9zDKpSotR02fP2PWcfzyyJEd""",1
changeme123,README.md,generic-api-key,"EXAMPLE_API_KEY = ""changeme123""",0
b6544040189894b20426c8e052d577859f5510c2,tests/fixtures/sample_config.env,generic-high-entropy-string,"session_id = ""b6544040189894b20426c8e052d577859f5510c2""",0
ipsum amet consectetur lorem,src/test/java/AuthTest.java,generic-secret,"EXAMPLE_API_KEY = ""ipsum amet consectetur lorem""",0
sk_live_XLokgpQprI0Y6VdW8oK2Zyw7,app/settings/prod.py,stripe-live-key,"DB_PASSWORD = ""sk_live_XLokgpQprI0Y6VdW8oK2Zyw7""",1
173a545b-6747-453b-b8dc-72e16a4083e9,docs/examples/quickstart.md,generic-high-entropy-string,"request_id = ""173a545b-6747-453b-b8dc-72e16a4083e9""",0
sha512-w6S1xL/9K/P/Gr/6XlCgSiooA+vHi2HzNk4XY9t7y+d+ygShOg4+4ct/SAAinAmL,README.md,hex-string,"EXAMPLE_API_KEY = ""sha512-w6S1xL/9K/P/Gr/6XlCgSiooA+vHi2HzNk4XY9t7y+d+ygShOg4+4ct/SAAinAmL""",0
sk_live_rdJ8L4V6lORBJFdw8PQyYHuS,deploy/k8s/secret.yaml,stripe-live-key,"GITHUB_TOKEN = ""sk_live_rdJ8L4V6lORBJFdw8PQyYHuS""",1
sha512-lDCXnqY6pjRzPGKQgCX5C+SPmix7bH1fk44Ui3mr9V17N57dyfltPP8MTD1ahEQr,tests/fixtures/sample_config.env,hex-string,"EXAMPLE_API_KEY = ""sha512-lDCXnqY6pjRzPGKQgCX5C+SPmix7bH1fk44Ui3mr9V17N57dyfltPP8MTD1ahEQr""",0
example-secret-do-not-use,spec/support/fixtures.rb,generic-api-key,"TEST_TOKEN = ""example-secret-do-not-use""",0
sk_live_U90P0jpgjqmlMjWWPel8XOFD,.github/workflows/deploy.yml,stripe-live-key,"API_KEY = ""sk_live_U90P0jpgjqmlMjWWPel8XOFD""",1
f9b5708e299857472b27a1ef2882c81104b51707,README.md,generic-high-entropy-string,"integrity = ""f9b5708e299857472b27a1ef2882c81104b51707""",0
46efb244-c511-4a5c-b1d5-ed4e35f4a3d3,README.md,generic-high-entropy-string,"DUMMY_SECRET = ""46efb244-c511-4a5c-b1d5-ed4e35f4a3d3""",0
ghp_zSptQLxEJHwBVJvwSDrtqohUmuhVI8WSlmnV,infra/terraform/secrets.tfvars,github-pat,"GITHUB_TOKEN = ""ghp_zSptQLxEJHwBVJvwSDrtqohUmuhVI8WSlmnV""",1
AKIADZ95JDXA1FS4MGBN,backend/config.json,aws-access-token,"DB_PASSWORD = ""AKIADZ95JDXA1FS4MGBN""",1
AKIAEJ8CX9J1ICTXCWNP,infra/terraform/secrets.tfvars,aws-access-token,"AWS_SECRET_ACCESS_KEY = ""AKIAEJ8CX9J1ICTXCWNP""",1
ghp_935k0u7KUumWkFGDF4tFbf8zGD9pnLwddsFM,infra/terraform/secrets.tfvars,github-pat,"GITHUB_TOKEN = ""ghp_935k0u7KUumWkFGDF4tFbf8zGD9pnLwddsFM""",1
changeme123,README.md,generic-api-key,"request_id = ""changeme123""",0
dolor sit ipsum consectetur,tests/fixtures/sample_config.env,generic-secret,"TEST_TOKEN = ""dolor sit ipsum consectetur""",0
consectetur sit dolor ipsum,README.md,generic-secret,"DUMMY_SECRET = ""consectetur sit dolor ipsum""",0
3be92880229fe32cff06b659518958ccea99dda3,package-lock.json,generic-high-entropy-string,"TEST_TOKEN = ""3be92880229fe32cff06b659518958ccea99dda3""",0
your_api_key_here,src/test/java/AuthTest.java,generic-api-key,"TEST_TOKEN = ""your_api_key_here""",0
ipsum amet consectetur lorem,src/test/java/AuthTest.java,generic-secret,"session_id = ""ipsum amet consectetur lorem""",0
sha512-3DD7rPRe68/LTk87MeSSwnh3MUl4X68NxypGku5L+OtcTjF/JkXxDyI5+fEdcFSN,package-lock.json,hex-string,"EXAMPLE_API_KEY = ""sha512-3DD7rPRe68/LTk87MeSSwnh3MUl4X68NxypGku5L+OtcTjF/JkXxDyI5+fEdcFSN""",0
AKIAG1OL73D9PH3I379U,.github/workflows/deploy.yml,aws-access-token,"GITHUB_TOKEN = ""AKIAG1OL73D9PH3I379U""",1
AKIATCHBVGKP7L9KV913,deploy/k8s/secret.yaml,aws-access-token,"DB_PASSWORD = ""AKIATCHBVGKP7L9KV913""",1
sk_live_q2u7ZzS1VuuCroe8miXXLgjg,deploy/k8s/secret.yaml,stripe-live-key,"DB_PASSWORD = ""sk_live_q2u7ZzS1VuuCroe8miXXLgjg""",1
sk_live_t0Y3oobQmzvr3e9XrwPGzR1I,config/production.env,stripe-live-key,"STRIPE_SECRET_KEY = ""sk_live_t0Y3oobQmzvr3e9XrwPGzR1I""",1
Wd3hjOkYRBMeyyMDHqJ38aRUhR4IW,backend/config.json,generic-api-key,"STRIPE_SECRET_KEY = ""Wd3hjOkYRBMeyyMDHqJ38aRUhR4IW""",1
Js1ON43xKmTecQoXsf2o3gyrDO1xk,infra/terraform/secrets.tfvars,generic-api-key,"STRIPE_SECRET_KEY = ""Js1ON43xKmTecQoXsf2o3gyrDO1xk""",1
sit dolor lorem consectetur,docs/examples/quickstart.md,generic-secret,"session_id = ""sit dolor lorem consectetur""",0
sk_live_hlxSjGyAMiKyBlFOIS6P7lJk,infra/terraform/secrets.tfvars,stripe-live-key,"GITHUB_TOKEN = ""sk_live_hlxSjGyAMiKyBlFOIS6P7lJk""",1
example-secret-do-not-use,README.md,generic-api-key,"request_id = ""example-secret-do-not-use""",0
ghp_avw1O9ZsJHxSgc5kFi0TVUAgqNmmh72znD0Y,backend/config.json,github-pat,"DB_PASSWORD = ""ghp_avw1O9ZsJHxSgc5kFi0TVUAgqNmmh72znD0Y""",1
example-secret-do-not-use,spec/support/fixtures.rb,generic-api-key,"EXAMPLE_API_KEY = ""example-secret-do-not-use""",0
8d7d0a4de24af4ab8c5b38e8475c6d385327da04,spec/support/fixtures.rb,generic-high-entropy-string,"request_id = ""8d7d0a4de24af4ab8c5b38e8475c6d385327da04""",0
sha512-d8zw4ok2aojHRuu2WNxp68OxlnI/lhXiJ9bcsyT7Ie5koCXZolqDhOPE3dt1l0OR,tests/fixtures/sample_config.env,hex-string,"integrity = ""sha512-d8zw4ok2aojHRuu2WNxp68OxlnI/lhXiJ9bcsyT7Ie5koCXZolqDhOPE3dt1l0OR""",0
AKIAT69N3VXDO3V94X2H,backend/config.json,aws-access-token,"AWS_SECRET_ACCESS_KEY = ""AKIAT69N3VXDO3V94X2H""",1
AKIABL57Y9HQQ2NS5MHI,deploy/k8s/secret.yaml,aws-access-token,"AWS_SECRET_ACCESS_KEY = ""AKIABL57Y9HQQ2NS5MHI""",1
example-secret-do-not-use,src/test/java/AuthTest.java,generic-api-key,"DUMMY_SECRET = ""example-secret-do-not-use""",0
your_api_key_here,package-lock.json,generic-api-key,"session_id = ""your_api_key_here""",0
05681917-8c12-4c40-ab7e-e1911e1a3f08,package-lock.json,generic-high-entropy-string,"integrity = ""05681917-8c12-4c40-ab7e-e1911e1a3f08""",0
62bc9c34-f62b-4eb6-9749-c53f62b609cc,spec/support/fixtures.rb,generic-high-entropy-string,"session_id = ""62bc9c34-f62b-4eb6-9749-c53f62b609cc""",0
your_api_key_here,spec/support/fixtures.rb,generic-api-key,"TEST_TOKEN = ""your_api_key_here""",0
ipsum lorem consectetur sit,spec/support/fixtures.rb,generic-secret,"DUMMY_SECRET = ""ipsum lorem consectetur sit""",0
sit amet dolor ipsum,package-lock.json,generic-secret,"integrity = ""sit amet dolor ipsum""",0
AKIAGPWKCZV1GAGQO679,backend/config.json,aws-access-token,"API_KEY = ""AKIAGPWKCZV1GAGQO679""",1
consectetur ipsum sit amet,docs/examples/quickstart.md,generic-secret,"EXAMPLE_API_KEY = ""consectetur ipsum sit amet""",0
6d11d0dfdd4352f594ba2197faad9a4ddfbbd93f,__mocks__/apiClient.js,generic-high-entropy-string,"DUMMY_SECRET = ""6d11d0dfdd4352f594ba2197faad9a4ddfbbd93f""",0
61117757550079036fb2901e8bf0f9c93a0a12dc,spec/support/fixtures.rb,generic-high-entropy-string,"DUMMY_SECRET = ""61117757550079036fb2901e8bf0f9c93a0a12dc""",0
ghp_imvAK56Dju3TlXfFvOluOdaCrnWXkKWkFYWX,app/settings/prod.py,github-pat,"AWS_SECRET_ACCESS_KEY = ""ghp_imvAK56Dju3TlXfFvOluOdaCrnWXkKWkFYWX""",1
ghp_IskXDKVXXFJGhKhrXI0xI0WcWUCInBgV1PWp,config/production.env,github-pat,"STRIPE_SECRET_KEY = ""ghp_IskXDKVXXFJGhKhrXI0xI0WcWUCInBgV1PWp""",1
057b932e-6f2d-425e-a917-464e46651fc6,src/test/java/AuthTest.java,generic-high-entropy-string,"DUMMY_SECRET = ""057b932e-6f2d-425e-a917-464e46651fc6""",0
170f3a83-8698-4f66-b6ad-9d2cdc6f021b,README.md,generic-high-entropy-string,"session_id = ""170f3a83-8698-4f66-b6ad-9d2cdc6f021b""",0
sha512-vJ/AHK2/Z8O/2+gGw5rs/GOZZCmOGLSf942CFJgpkjOxM2KTzzJOa+l0DM6Uemz1,__mocks__/apiClient.js,hex-string,"DUMMY_SECRET = ""sha512-vJ/AHK2/Z8O/2+gGw5rs/GOZZCmOGLSf942CFJgpkjOxM2KTzzJOa+l0DM6Uemz1""",0
9136e1bc-16d3-4413-b08f-075b0e00ca43,README.md,generic-high-entropy-string,"integrity = ""9136e1bc-16d3-4413-b08f-075b0e00ca43""",0
sk_live_WkI9X7H6aMuFbh7x41Ztpdp4,config/production.env,stripe-live-key,"API_KEY = ""sk_live_WkI9X7H6aMuFbh7x41Ztpdp4""",1
Vj77p3kZZl4AblV7vY7AZQ3VZprkYSgy3c2Eo,deploy/k8s/secret.yaml,generic-api-key,"DB_PASSWORD = ""Vj77p3kZZl4AblV7vY7AZQ3VZprkYSgy3c2Eo""",1
ghp_fF2BPYvK2g5H6con53S4KErc7eR7r5IKQcl7,config/production.env,github-pat,"STRIPE_SECRET_KEY = ""ghp_fF2BPYvK2g5H6con53S4KErc7eR7r5IKQcl7""",1
sha512-j+H5cUioHFwgT/ogc3LQaAyKF4gAU41d1+j9376V/opZMhL2FhvfOFgsa/WmhJle,spec/support/fixtures.rb,hex-string,"request_id = ""sha512-j+H5cUioHFwgT/ogc3LQaAyKF4gAU41d1+j9376V/opZMhL2FhvfOFgsa/WmhJle""",0
ghp_eAAvIDAdn1Ay5XL8Sb24WKyEa8wtWy2591AI,.github/workflows/deploy.yml,github-pat,"API_KEY = ""ghp_eAAvIDAdn1Ay5XL8Sb24WKyEa8wtWy2591AI""",1
AxRUpCNsWVYCoIpt9ZYE51mxR8KC,infra/terraform/secrets.tfvars,generic-api-key,"GITHUB_TOKEN = ""AxRUpCNsWVYCoIpt9ZYE51mxR8KC""",1
sit consectetur lorem ipsum,src/test/java/AuthTest.java,generic-secret,"request_id = ""sit consectetur lorem ipsum""",0
c5059bb4-c027-4794-a1bd-375494ba4aea,package-lock.json,generic-high-entropy-string,"DUMMY_SECRET = ""c5059bb4-c027-4794-a1bd-375494ba4aea""",0
